Tank_1,BATCHID,Material,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2601,107579279,1985101,14,9.0,1064,137.588,9.8277,5.0,29.54
2601,107609604,1527533,25,21.0,432,105.892,4.2357,4.0,29.54
2601,107628743,1529056,5,0.0,1425,178.579,35.7158,6.0,29.54
2601,107657881,1985101,8,3.0,1260,137.283,17.1604,5.0,29.54
2601,107671161,1036590,9,4.0,718,142.711,15.8568,5.0,29.54
2601,107691051,1985101,8,3.0,354,137.403,17.1754,5.0,29.54
2601,107718990,3041211,9,4.0,547,136.902,15.2113,5.0,29.54
2601,107720157,1985101,3,0.0,208,137.551,45.8503,5.0,29.54
2601,107731815,1036590,18,13.0,1339,142.93,7.9406,5.0,29.54
2601,107734265,1985101,8,3.0,845,137.312,17.164,5.0,29.54
2601,107743160,1045448,40,35.0,6328,133.363,3.3341,5.0,29.54
2601,107748062,1368236,26,18.0,1218,162.464,37.0958,4.5,17.0143
2601,107769534,1036590,8,3.0,702,143.308,17.9135,5.0,29.54
2601,107784321,1779699,4,0.0,1672,119.445,29.8613,4.0,29.54
2601,107792342,1529065,7,2.0,266,139.139,19.877,5.0,29.54
2601,107795797,1985101,8,3.0,704,137.374,17.1717,5.0,29.54
2601,107796944,1045448,6,1.0,6582,133.339,22.2232,5.0,29.54
2601,107807261,1529056,19,13.0,827,178.746,9.4077,6.0,29.54
2601,107817306,1529244,6,0.0,870,95.944,15.9907,6.0,15.4835
2601,107831957,1985101,5,0.0,373,137.355,27.471,5.0,29.54
2601,107842003,1036590,11,6.0,1654,142.814,12.9831,5.0,29.54
2601,107873947,1045448,13,8.0,968,133.345,10.2573,5.0,29.54
2601,107880059,1368236,138,129.0,1091,164.621,24.7078,4.5,17.0143
2601,107899139,1552603,17,11.0,811,89.199,5.247,6.0,15.4835
2601,107913400,1036590,21,16.0,1594,142.207,6.7718,5.0,29.54
2601,107924004,1985101,30,25.0,433,137.377,4.5792,5.0,29.54
2601,107936750,1045448,38,33.0,1156,133.078,3.5021,5.0,29.54
2601,107970928,1045448,12,7.0,1202,133.443,11.1203,5.0,29.54
2601,107988686,1668834,7,2.0,1361,201.847,28.8353,5.0,42.1559
2601,108002422,1036590,6,1.0,624,142.707,23.7845,5.0,29.54
2601,108037928,1397022,6,0.0,443,96.9,16.15,6.0,15.4835
2601,108046604,1045448,6,1.0,426,133.281,22.2135,5.0,29.54
2601,108060668,1036590,35,30.0,624,142.944,4.0841,5.0,29.54
2601,108080114,1036590,28,23.0,479,142.819,5.1007,5.0,29.54
2603,107700556,1529056,3,0.0,501,178.823,59.6077,6.0,29.54
2603,107983966,1985101,14,9.0,1266,137.532,9.8237,5.0,29.54
2604,107559262,1045448,11,6.0,1278,133.651,12.1501,5.0,29.54
2604,107588989,1513667,22,18.0,242,103.766,4.7166,4.0,29.54
2604,107599314,1368236,36,27.0,601,164.523,11.307500000000001,4.5,17.0143
2604,107599992,1985101,23,18.0,551,137.427,5.9751,5.0,29.54
2604,107642480,1974017,15,10.0,1354,84.875,5.6583,5.0,15.4835
2604,107759327,1985101,110,105.0,950,137.438,1.2494,5.0,29.54
2604,107776897,1529244,8,2.0,1394,95.927,11.9909,6.0,15.4835
2604,107956532,1985101,11,6.0,992,137.41,12.4918,5.0,29.54
2604,108037929,1397022,18,12.0,272,96.709,5.3727,6.0,15.4835
2604,108081814,1985101,7,2.0,305,137.528,19.6469,5.0,29.54
